日志记录中: ./logs/train_log_20250516-093202.txt
Epoch 313: Loss=0.1632, Test Accuracy=71.56%
Epoch 314: Loss=0.1595, Test Accuracy=71.63%
Epoch 315: Loss=0.1544, Test Accuracy=72.37%
Epoch 316: Loss=0.1542, Test Accuracy=72.11%
Epoch 317: Loss=0.1632, Test Accuracy=72.66%
Epoch 318: Loss=0.1528, Test Accuracy=72.29%
Epoch 319: Loss=0.1592, Test Accuracy=71.60%
Epoch 320: Loss=0.1570, Test Accuracy=71.57%
Epoch 321: Loss=0.1496, Test Accuracy=71.21%
Epoch 322: Loss=0.1573, Test Accuracy=72.15%
Epoch 323: Loss=0.1600, Test Accuracy=72.66%
Epoch 324: Loss=0.1501, Test Accuracy=72.08%
Epoch 325: Loss=0.1639, Test Accuracy=72.33%
Epoch 326: Loss=0.1502, Test Accuracy=72.38%
Epoch 327: Loss=0.1561, Test Accuracy=72.10%
Epoch 328: Loss=0.1562, Test Accuracy=71.83%
Epoch 329: Loss=0.1634, Test Accuracy=71.29%
Epoch 330: Loss=0.1584, Test Accuracy=71.06%
Epoch 331: Loss=0.1647, Test Accuracy=71.81%
Epoch 332: Loss=0.1568, Test Accuracy=71.86%
Epoch 333: Loss=0.1516, Test Accuracy=71.22%
Epoch 334: Loss=0.1614, Test Accuracy=73.27%
Epoch 335: Loss=0.1557, Test Accuracy=72.08%
Epoch 336: Loss=0.1567, Test Accuracy=71.83%
Epoch 337: Loss=0.1676, Test Accuracy=72.04%
Epoch 338: Loss=0.1546, Test Accuracy=71.72%
Epoch 339: Loss=0.1624, Test Accuracy=71.77%
Epoch 340: Loss=0.1542, Test Accuracy=71.62%
Epoch 341: Loss=0.1522, Test Accuracy=71.46%
Epoch 342: Loss=0.1597, Test Accuracy=71.34%
Epoch 343: Loss=0.1508, Test Accuracy=71.74%
Epoch 344: Loss=0.1516, Test Accuracy=70.99%
Epoch 345: Loss=0.1581, Test Accuracy=71.47%
Epoch 346: Loss=0.1582, Test Accuracy=70.82%
Epoch 347: Loss=0.1534, Test Accuracy=71.67%
Epoch 348: Loss=0.1592, Test Accuracy=71.99%
Epoch 349: Loss=0.1546, Test Accuracy=72.00%
Epoch 350: Loss=0.1568, Test Accuracy=73.19%
Epoch 351: Loss=0.1534, Test Accuracy=72.23%
Epoch 352: Loss=0.1583, Test Accuracy=72.19%
Epoch 353: Loss=0.1615, Test Accuracy=71.10%
Epoch 354: Loss=0.1591, Test Accuracy=72.00%
Epoch 355: Loss=0.1543, Test Accuracy=71.63%
Epoch 356: Loss=0.1520, Test Accuracy=71.08%
Epoch 357: Loss=0.1591, Test Accuracy=72.04%
Epoch 358: Loss=0.1579, Test Accuracy=72.01%
Epoch 359: Loss=0.1570, Test Accuracy=72.45%
Epoch 360: Loss=0.1624, Test Accuracy=72.32%
Epoch 361: Loss=0.1564, Test Accuracy=72.31%
Epoch 362: Loss=0.1507, Test Accuracy=71.50%
Epoch 363: Loss=0.1575, Test Accuracy=71.03%
Epoch 364: Loss=0.1575, Test Accuracy=72.20%
Epoch 365: Loss=0.1552, Test Accuracy=72.47%
Epoch 366: Loss=0.1548, Test Accuracy=71.75%
Epoch 367: Loss=0.1465, Test Accuracy=72.15%
Epoch 368: Loss=0.1596, Test Accuracy=71.49%
Epoch 369: Loss=0.1534, Test Accuracy=73.71%
Epoch 370: Loss=0.1585, Test Accuracy=71.85%
Epoch 371: Loss=0.1541, Test Accuracy=72.26%
Epoch 372: Loss=0.1554, Test Accuracy=72.45%
Epoch 373: Loss=0.1506, Test Accuracy=71.60%
Epoch 374: Loss=0.1655, Test Accuracy=71.33%
Epoch 375: Loss=0.1577, Test Accuracy=72.76%
Epoch 376: Loss=0.1586, Test Accuracy=71.25%
Epoch 377: Loss=0.1518, Test Accuracy=71.13%
Epoch 378: Loss=0.1545, Test Accuracy=71.45%
Epoch 379: Loss=0.1537, Test Accuracy=72.52%
Epoch 380: Loss=0.1512, Test Accuracy=71.63%
Epoch 381: Loss=0.1524, Test Accuracy=72.50%
Epoch 382: Loss=0.1506, Test Accuracy=72.29%
Epoch 383: Loss=0.1518, Test Accuracy=71.33%
Epoch 384: Loss=0.1595, Test Accuracy=71.69%
Epoch 385: Loss=0.1568, Test Accuracy=71.89%
Epoch 386: Loss=0.1570, Test Accuracy=71.15%
Epoch 387: Loss=0.1557, Test Accuracy=71.02%
Epoch 388: Loss=0.1606, Test Accuracy=71.76%
Epoch 389: Loss=0.1554, Test Accuracy=71.94%
Epoch 390: Loss=0.1582, Test Accuracy=71.20%
Epoch 391: Loss=0.1580, Test Accuracy=71.17%
Epoch 392: Loss=0.1532, Test Accuracy=72.36%
Epoch 393: Loss=0.1509, Test Accuracy=71.65%
Epoch 394: Loss=0.1539, Test Accuracy=71.75%
Epoch 395: Loss=0.1507, Test Accuracy=71.87%
Epoch 396: Loss=0.1542, Test Accuracy=72.32%
Epoch 397: Loss=0.1530, Test Accuracy=72.52%
Epoch 398: Loss=0.1512, Test Accuracy=70.94%
Epoch 399: Loss=0.1600, Test Accuracy=70.70%
Epoch 400: Loss=0.1580, Test Accuracy=72.49%
Epoch 401: Loss=0.1521, Test Accuracy=72.18%
Epoch 402: Loss=0.1545, Test Accuracy=72.77%
Epoch 403: Loss=0.1588, Test Accuracy=72.72%
Epoch 404: Loss=0.1519, Test Accuracy=72.06%
Epoch 405: Loss=0.1420, Test Accuracy=71.49%
Epoch 406: Loss=0.1595, Test Accuracy=72.13%
Epoch 407: Loss=0.1565, Test Accuracy=72.33%
Epoch 408: Loss=0.1597, Test Accuracy=71.18%
Epoch 409: Loss=0.1556, Test Accuracy=71.85%
Epoch 410: Loss=0.1479, Test Accuracy=72.20%
Epoch 411: Loss=0.1522, Test Accuracy=71.93%
Epoch 412: Loss=0.1556, Test Accuracy=71.27%
Epoch 413: Loss=0.1550, Test Accuracy=70.96%
Epoch 414: Loss=0.1547, Test Accuracy=71.43%
Epoch 415: Loss=0.1480, Test Accuracy=72.57%
Epoch 416: Loss=0.1548, Test Accuracy=71.59%
Epoch 417: Loss=0.1541, Test Accuracy=70.34%
Epoch 418: Loss=0.1519, Test Accuracy=71.42%
Epoch 419: Loss=0.1622, Test Accuracy=72.48%
Epoch 420: Loss=0.1490, Test Accuracy=71.10%
Epoch 421: Loss=0.1574, Test Accuracy=72.07%
Epoch 422: Loss=0.1554, Test Accuracy=70.27%
Epoch 423: Loss=0.1515, Test Accuracy=71.62%
Epoch 424: Loss=0.1564, Test Accuracy=72.77%
Epoch 425: Loss=0.1589, Test Accuracy=71.41%
Epoch 426: Loss=0.1561, Test Accuracy=73.25%
Epoch 427: Loss=0.1546, Test Accuracy=72.04%
Epoch 428: Loss=0.1549, Test Accuracy=71.57%
Epoch 429: Loss=0.1542, Test Accuracy=72.09%
Epoch 430: Loss=0.1549, Test Accuracy=71.17%
Epoch 431: Loss=0.1494, Test Accuracy=70.72%
Epoch 432: Loss=0.1512, Test Accuracy=71.52%
Epoch 433: Loss=0.1515, Test Accuracy=72.22%
Epoch 434: Loss=0.1519, Test Accuracy=72.14%
Epoch 435: Loss=0.1524, Test Accuracy=71.32%
Epoch 436: Loss=0.1436, Test Accuracy=72.69%
Epoch 437: Loss=0.1607, Test Accuracy=72.49%
Epoch 438: Loss=0.1505, Test Accuracy=71.84%
Epoch 439: Loss=0.1608, Test Accuracy=72.30%
Epoch 440: Loss=0.1367, Test Accuracy=70.90%
Epoch 441: Loss=0.1562, Test Accuracy=71.41%
Epoch 442: Loss=0.1589, Test Accuracy=72.26%
Epoch 443: Loss=0.1555, Test Accuracy=72.78%
Epoch 444: Loss=0.1534, Test Accuracy=71.82%
Epoch 445: Loss=0.1453, Test Accuracy=70.84%
Epoch 446: Loss=0.1572, Test Accuracy=71.88%
Epoch 447: Loss=0.1578, Test Accuracy=72.40%
Epoch 448: Loss=0.1557, Test Accuracy=71.28%
Epoch 449: Loss=0.1510, Test Accuracy=73.13%
Epoch 450: Loss=0.1580, Test Accuracy=71.54%
Epoch 451: Loss=0.1575, Test Accuracy=71.74%
Epoch 452: Loss=0.1502, Test Accuracy=72.00%
Epoch 453: Loss=0.1494, Test Accuracy=71.82%
Epoch 454: Loss=0.1507, Test Accuracy=71.66%
Epoch 455: Loss=0.1421, Test Accuracy=72.18%
Epoch 456: Loss=0.1589, Test Accuracy=71.66%
Epoch 457: Loss=0.1551, Test Accuracy=71.63%
Epoch 458: Loss=0.1514, Test Accuracy=72.65%
Epoch 459: Loss=0.1518, Test Accuracy=71.92%
